"","Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","richness","Flower_abundance","Frequency","freq_minute","visitatio_rate","visitation_rate_minute"
"85",2016,"Bonares","Cistus salviifolius","A",1,0,0,0,1,1,1,7,0.01433,1,7.5,1,0.2,0.133333333333333,0.0266666666666667
"86",2017,"Bonares","Cistus salviifolius","A",6,0,2,0,8,8,1,46,0.0582533333333333,5,24.25,6,2,0.247422680412371,0.0824742268041237
"87",2017,"Bonares","Cistus salviifolius","B",3,0,3,0,6,6,1,49,0.0598733333333333,3,27.6666666666667,3,1,0.108433734939759,0.036144578313253
"88",2018,"Bonares","Cistus salviifolius","A",0,0,1,0,1,1,1,45,0.03135,1,6,7,2.33333333333333,1.16666666666667,0.388888888888889
"89",2018,"Bonares","Cistus salviifolius","B",3,0,1,0,4,4,1,54,0.05799,1,10,2,0.666666666666667,0.2,0.0666666666666667
"90",2018,"Bonares","Cistus salviifolius","C",5,0,0,0,5,5,1,42.6666666666667,0.04926,2,20,6,2,0.3,0.1
"91",2018,"Bonares","Cistus salviifolius","D",2,0,1,0,3,3,1,63,0.0539766666666667,1,15,4,1.33333333333333,0.266666666666667,0.0888888888888889
"92",2019,"Bonares","Cistus salviifolius","A",3,0,1,0,4,4,1,25,0.0271266666666667,2,13,24,8,1.84615384615385,0.615384615384615
"93",2019,"Bonares","Cistus salviifolius","B",1,0,0,1,2,2,1,43,0.0522,5,11.5714285714286,30,10,2.59259259259259,0.864197530864198
"94",2019,"Bonares","Cistus salviifolius","C",3,0,0,0,3,3,1,48,0.0556166666666667,2,15.6666666666667,14,4.66666666666667,0.893617021276596,0.297872340425532
"95",2017,"Bonares","Halimium calycinum","A",5,0,1,0,6,6,1,1.5,0.005355,1,6,1,0.333333333333333,0.166666666666667,0.0555555555555556
"96",2019,"Bonares","Halimium calycinum","A",1,0,1,1,3,3,1,2,0.00236,3,38.75,8,2.66666666666667,0.206451612903226,0.0688172043010753
"97",2019,"Bonares","Halimium calycinum","B",1,0,0,1,2,2,1,2,0.00786,1,54.6666666666667,11,3.66666666666667,0.201219512195122,0.0670731707317073
"98",2019,"Bonares","Halimium calycinum","C",1,0,0,1,2,2,1,2,0.00826,1,105,3,1,0.0285714285714286,0.00952380952380952
"99",2018,"Bonares","Halimium halimifolium","A",2,0,0,0,2,2,1,11.5,0.007805,1,15,4,1.33333333333333,0.266666666666667,0.0888888888888889
