"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Dip_freq","Hym_freq","Frequency","Fruit_proportion","seed_number","Seed_weight"
"183",2017,"Cotito de Santa Teresa","Asphodelus fistulosus","A",1,1,0,0,1,1,1,2.5,0.00292
"184",2017,"Cotito de Santa Teresa","Asphodelus fistulosus","B",1,1,0,0,3,3,0.666666666666667,3.25,0.014225
"185",2017,"Cotito de Santa Teresa","Asphodelus fistulosus","C",1,1,0,0,4,4,0,0,0
"186",2015,"Cotito de Santa Teresa","Cistus crispus","A",1,1,0,0,1,1,0,0,0
"187",2015,"Cotito de Santa Teresa","Cistus crispus","B",2,2,0,0,3,3,0,0,0
"188",2017,"Cotito de Santa Teresa","Cistus crispus","A",0,0,0,0,0,0,1,0,0
"189",2017,"Cotito de Santa Teresa","Cistus crispus","B",1,2,0,0,3,3,0.8,19.5,0.01127
"190",2018,"Cotito de Santa Teresa","Cistus crispus","A",2,2,0,0,13,13,1,39.3333333333333,0.0191233333333333
"191",2018,"Cotito de Santa Teresa","Cistus crispus","B",3,3,0,0,14,14,1,34.6666666666667,0.01693
"192",2018,"Cotito de Santa Teresa","Cistus crispus","C",4,6,1,0,24,25,0.166666666666667,13,0.00656
"193",2018,"Cotito de Santa Teresa","Cistus crispus","D",0,0,0,0,0,0,0.666666666666667,41.5,0.017875
"194",2015,"Cotito de Santa Teresa","Cistus salviifolius","A",1,1,0,0,1,1,0.948717948717949,38.8333333333333,0.0334516666666667
"195",2015,"Cotito de Santa Teresa","Cistus salviifolius","B",1,1,0,2,0,2,0.555555555555556,38.2,0.043568
"196",2016,"Cotito de Santa Teresa","Cistus salviifolius","A",1,1,1,0,0,1,0,0,0
"197",2016,"Cotito de Santa Teresa","Cistus salviifolius","B",1,1,1,0,0,1,0,0,0
"198",2017,"Cotito de Santa Teresa","Cistus salviifolius","A",0,1,0,0,1,1,0,0,0
"199",2018,"Cotito de Santa Teresa","Cistus salviifolius","A",0,0,0,0,0,0,1,22,0.027485
"200",2018,"Cotito de Santa Teresa","Cistus salviifolius","B",0,0,0,0,0,0,1,52,0.04653
"201",2018,"Cotito de Santa Teresa","Cistus salviifolius","C",0,0,0,0,0,0,0.5,26.5,0.02946
"202",2018,"Cotito de Santa Teresa","Cistus salviifolius","D",0,0,0,0,0,0,1,46.5,0.05629
"203",2016,"Cotito de Santa Teresa","Halimium halimifolium","A",1,1,1,0,0,1,0,0,0
"204",2018,"Cotito de Santa Teresa","Halimium halimifolium","A",6,6,3,0,22,25,1,25,0.0102133333333333
"205",2018,"Cotito de Santa Teresa","Halimium halimifolium","B",1,1,1,0,0,1,1,38.3333333333333,0.01665
"206",2018,"Cotito de Santa Teresa","Halimium halimifolium","C",3,3,7,0,2,9,1,24,0.0114
"207",2018,"Cotito de Santa Teresa","Halimium halimifolium","D",1,1,3,0,0,3,1,13.6666666666667,0.00525
"208",2018,"Cotito de Santa Teresa","Lavandula pedunculata","A",0,0,0,0,0,0,0.646153846153846,3.33333333333333,0.00177333333333333
"209",2018,"Cotito de Santa Teresa","Lavandula pedunculata","B",0,0,0,0,0,0,0.735714285714286,3.33333333333333,0.00227
"210",2018,"Cotito de Santa Teresa","Lavandula pedunculata","C",0,0,0,0,0,0,0.85792349726776,3.33333333333333,0.00110333333333333
"211",2018,"Cotito de Santa Teresa","Lavandula pedunculata","D",0,0,0,0,0,0,0.895953757225434,2.66666666666667,0.00247
"212",2015,"Cotito de Santa Teresa","Lavandula stoechas","A",2,3,0,0,6,6,0.796190839006726,1.69230769230769,0.00156923076923077
"213",2015,"Cotito de Santa Teresa","Lavandula stoechas","B",1,1,0,0,5,5,0,0,0
"214",2016,"Cotito de Santa Teresa","Lavandula stoechas","A",1,1,0,0,13,13,0,0,0
"215",2016,"Cotito de Santa Teresa","Lavandula stoechas","B",1,1,0,0,1,1,0,0,0
"216",2018,"Cotito de Santa Teresa","Lavandula stoechas","A",2,2,0,0,88,88,0,0,0
"217",2018,"Cotito de Santa Teresa","Lavandula stoechas","B",3,3,0,0,50,50,0,0,0
"218",2018,"Cotito de Santa Teresa","Lavandula stoechas","C",5,5,0,0,54,54,0,0,0
"219",2018,"Cotito de Santa Teresa","Lavandula stoechas","D",3,5,0,0,28,28,0,0,0
"220",2015,"Cotito de Santa Teresa","Rosmarinus officinalis","A",1,1,0,0,2,2,0.984126984126984,1.66666666666667,0.000435
"221",2015,"Cotito de Santa Teresa","Rosmarinus officinalis","B",0,0,0,0,0,0,0.762352941176471,1.44444444444444,0.000444444444444444
"222",2017,"Cotito de Santa Teresa","Rosmarinus officinalis","A",1,1,0,0,74,74,1,2.28571428571429,0.000225714285714286
"223",2017,"Cotito de Santa Teresa","Rosmarinus officinalis","B",4,4,0,1,34,35,0.9,2,0.000873333333333333
"224",2017,"Cotito de Santa Teresa","Rosmarinus officinalis","C",2,2,0,0,43,43,0.722222222222222,1.5,0.000265
"225",2018,"Cotito de Santa Teresa","Rosmarinus officinalis","A",3,3,1,0,159,160,0,0,0
"226",2018,"Cotito de Santa Teresa","Rosmarinus officinalis","B",5,5,1,0,130,131,0,0,0
"227",2018,"Cotito de Santa Teresa","Rosmarinus officinalis","C",3,3,0,0,61,61,0,0,0
"228",2018,"Cotito de Santa Teresa","Rosmarinus officinalis","D",3,3,0,0,19,19,0,0,0
"229",2018,"Cotito de Santa Teresa","Rosmarinus officinalis","E",1,1,0,0,151,151,0,0,0
"230",2015,"El pinar","Cistus salviifolius","A",0,1,0,0,1,1,0,0,0
"231",2015,"El pinar","Lavandula stoechas","A",1,1,0,0,1,1,0,0,0
"232",2015,"El pinar","Rosmarinus officinalis","A",1,1,0,0,1,1,0.958333333333333,2.25,0.0004035
"233",2015,"El pinar","Rosmarinus officinalis","B",0,0,0,0,0,0,0.690936819172113,1.375,0.00056625
"234",2015,"El pinar","Rosmarinus officinalis","C",0,0,0,0,0,0,0.625,1.625,0.0004625
"235",2017,"El pozo","Cistus crispus","A",0,0,0,0,0,0,0,0,0
"236",2017,"El pozo","Cistus crispus","B",0,0,0,0,0,0,0,7.5,0.00283
"237",2018,"El pozo","Cistus crispus","A",3,4,0,0,14,14,0.8,18.6666666666667,0.01021
"238",2018,"El pozo","Cistus crispus","B",3,4,0,0,16,16,0.714285714285714,27.6666666666667,0.0153466666666667
"239",2018,"El pozo","Cistus crispus","C",2,2,0,0,2,2,1,31.3333333333333,0.01452
"240",2018,"El pozo","Cistus crispus","D",0,0,0,0,0,0,1,33,0.01494
"241",2015,"El pozo","Cistus ladanifer","A",2,2,0,0,3,3,0,0,0
"242",2015,"El pozo","Cistus ladanifer","B",1,1,0,0,2,2,0,0,0
"243",2016,"El pozo","Cistus ladanifer","A",2,2,0,1,1,2,0,175,0.04105
"244",2016,"El pozo","Cistus ladanifer","B",1,1,0,0,1,1,0,57,0.00275
"245",2017,"El pozo","Cistus ladanifer","A",1,1,0,0,1,1,0,0,0
"246",2017,"El pozo","Cistus ladanifer","B",1,1,1,0,0,1,0,0,0
"247",2017,"El pozo","Cistus ladanifer","C",1,1,0,0,2,2,0,0,0
"248",2015,"El pozo","Cistus salviifolius","A",1,1,0,0,3,3,0,0,0
"249",2015,"El pozo","Cistus salviifolius","B",1,1,0,0,1,1,0,0,0
"250",2016,"El pozo","Cistus salviifolius","A",1,1,0,0,3,3,1,48,0.044585
